first_name,last_name,email,phone,address_line,city,state,postal_code,country
 AMELIA ,lopez,AMELIALOPEZ205@EXAMPLE.COM,1-579-627-2739,2242 Lakeview Dr Apt 195,Atlanta,GA,41685,USA
Mason,Thomas,masonthomas81@example.com,+1 (388) 152-5136,"7316 Hillcrest Way, Apt 88",Miami,FL,24953,USA
Lucas,Brown,lucasbrown180@example.com,+1 (560) 659-6546,"2285 Pine Rd, Apt 12",Chicago,IL,99742,USA
Mia,Johnson,miajohnson45@example.com,+1 (553) 846-6139,"9874 Sunset Blvd, Apt 112",Seattle,WA,89457,USA
Liam,Johnson,liamjohnson80@example.com,+1 (970) 602-2680,"2168 Oak St, Apt 164",Phoenix,AZ,85243,USA
Evelyn,Lopez,evelynlopez122@example.com,+1 (944) 258-7797,"9722 Maple Ave, Apt 191",Atlanta,GA,74139,USA
Emma,Martinez,emmamartinez51@example.com,+1 (969) 340-6085,"1630 Cedar Ln, Apt 210",Chicago,IL,36100,USA
Emma,Garcia,emmagarcia154@example.com,+1 (777) 878-8354,"7701 Lakeview Dr, Apt 194",Miami,FL,92210,USA
Emma,Gonzalez,emmagonzalez82@example.com,+1 (844) 802-1878,"1313 Pine Rd, Apt 148",Miami,FL,29555,USA
Ella,Williams,ellawilliams197@example.com,+1 (275) 560-8632,"5294 Lakeview Dr, Apt 165",Denver,CO,26821,USA
Liam,Miller,liammiller183@example.com,+1 (248) 986-6438,"5948 Elm St, Apt 200",Phoenix,AZ,26315,USA
Harper,Lopez,harperlopez188@example.com,+1 (822) 794-8179,"610 Oak St, Apt 37",Denver,CO,26545,USA
Amelia,Martin,ameliamartin166@example.com,+1 (357) 266-3962,"9885 Pine Rd, Apt 97",Denver,CO,67366,USA
 LUCAS ,Rodriguez, lucasrodriguez57@example.com ,1-492-340-5451,1369 Lakeview Dr Apt 183,MIAMI,FL,51904,USA
James,Johnson,jamesjohnson179@example.com,+1 (965) 116-6850,"6216 Maple Ave, Apt 65",Atlanta,GA,55193,USA
Mason,Miller,masonmiller112@example.com,+1 (442) 490-6881,"8016 Elm St, Apt 28",Atlanta,GA,48696,USA
Harper,Anderson,harperanderson84@example.com,+1 (639) 412-1986,"4971 Maple Ave, Apt 151",Miami,FL,37235,USA
James,Martinez,jamesmartinez210@example.com,+1 (337) 370-6992,"1861 Sunset Blvd, Apt 111",Austin,TX,57964,USA
Sophia,Hernandez,sophiahernandez158@example.com,+1 (263) 561-2695,"8314 Lakeview Dr, Apt 39",Miami,FL,21053,USA
Sophia,Rodriguez,sophiarodriguez85@example.com,+1 (377) 665-2229,"2673 Pine Rd, Apt 62",Seattle,WA,10350,USA
Evelyn,Moore,evelynmoore101@example.com,+1 (765) 881-9903,"5754 Sunset Blvd, Apt 86",Miami,FL,69682,USA
 ETHAN ,jackson, ethanjackson11@example.com ,1-341-621-9085,"6030 Maple Ave, Apt 57",ATLANTA,GA,16175,USA
Evelyn,Brown,evelynbrown206@example.com,+1 (344) 199-1829,"7466 Elm St, Apt 64",Phoenix,AZ,60351,USA
Lucas,Lopez,lucaslopez34@example.com,+1 (756) 820-5956,"2684 Oak St, Apt 113",Phoenix,AZ,97538,USA
 HARPER ,taylor, harpertaylor169@example.com ,1-404-920-3267,"2755 Elm St, Apt 210",ATLANTA,GA,16839,USA
Mia,Thomas,miathomas117@example.com,+1 (317) 579-2233,"5649 Pine Rd, Apt 206",Phoenix,AZ,39571,USA
Ella,Martin,ellamartin50@example.com,+1 (652) 791-4501,"7718 Hillcrest Way, Apt 114",Chicago,IL,32241,USA
Emma,Williams,emmawilliams157@example.com,+1 (767) 910-1672,"7681 Hillcrest Way, Apt 149",Atlanta,GA,84928,USA
 AVA ,johnson,avajohnson121@example.com,1-318-199-4846,"5086 Pine Rd, Apt 127",Austin,TX,60940,USA
Liam,Garcia,liamgarcia204@example.com,+1 (675) 308-6573,"6909 Pine Rd, Apt 124",Miami,FL,50970,USA
Logan,Martinez,loganmartinez160@example.com,+1 (546) 795-1857,"6797 Lakeview Dr, Apt 199",Atlanta,GA,18639,USA
 OLIVIA ,hernandez,oliviahernandez173@example.com,+1 (349) 240-1627,"5593 Elm St, Apt 203",Seattle,WA,71925,USA
Ella,Smith,ellasmith63@example.com,+1 (672) 286-1823,"7122 Elm St, Apt 35",Seattle,WA,59689,USA
Amelia,Miller,ameliamiller64@example.com,+1 (979) 488-5558,"5455 Sunset Blvd, Apt 87",Miami,FL,43065,USA
 EVELYN ,Martinez,EVELYNMARTINEZ89@EXAMPLE.COM,+1 (752) 605-8172,"4560 Maple Ave, Apt 129",Atlanta,GA,88385,USA
Harper,Lopez,harperlopez19@example.com,+1 (323) 353-4681,"8579 Maple Ave, Apt 116",Miami,FL,54313,USA
Henry,Wilson,henrywilson123@example.com,+1 (579) 322-8264,"636 Hillcrest Way, Apt 177",Phoenix,AZ,40947,USA
Lucas,Martinez,lucasmartinez76@example.com,+1 (743) 452-7971,"7853 Lakeview Dr, Apt 142",Chicago,IL,56112,USA
Ethan,Brown,ethanbrown107@example.com,+1 (910) 406-1474,"7369 Oak St, Apt 43",Seattle,WA,52516,USA
Amelia,Smith,ameliasmith70@example.com,+1 (643) 470-8532,"8131 Pine Rd, Apt 28",Atlanta,GA,67080,USA
Benjamin,Garcia,benjamingarcia111@example.com,+1 (801) 406-7951,"7337 Elm St, Apt 89",Seattle,WA,69878,USA
 OLIVIA ,garcia, oliviagarcia141@example.com ,1-610-171-3324,9378 Oak St Apt 169,Denver,CO,22026,USA
Amelia,Thomas,ameliathomas16@example.com,+1 (514) 345-1949,"1932 Cedar Ln, Apt 93",Austin,TX,84364,USA
 LOGAN ,Rodriguez, loganrodriguez119@example.com ,+1 (891) 339-8724,6186 Oak St Apt 28,ATLANTA,GA,91205,USA
Evelyn,wilson, evelynwilson144@example.com ,1-479-320-9394,"7342 Maple Ave, Apt 107",MIAMI,FL,55242,USA
Henry,Wilson,henrywilson207@example.com,+1 (535) 691-6123,"2716 Cedar Ln, Apt 209",Boston,MA,30885,USA
Evelyn,Rodriguez,evelynrodriguez77@example.com,+1 (323) 838-4155,"4218 Lakeview Dr, Apt 60",Phoenix,AZ,25670,USA
Ella,Gonzalez,ellagonzalez68@example.com,+1 (806) 807-4978,"3349 Maple Ave, Apt 20",Atlanta,GA,49529,USA
Benjamin,Martinez,benjaminmartinez35@example.com,+1 (318) 209-3546,"2300 Elm St, Apt 68",Seattle,WA,46930,USA
Abigail,Anderson,abigailanderson212@example.com,+1 (299) 503-7114,"2046 Lakeview Dr, Apt 33",Phoenix,AZ,83116,USA
