first_name,last_name,email,phone,address_line,city,state,postal_code,country
Benjamin,Jones,benjaminjones196@example.com,+1 (607) 834-8842,"1177 Sunset Blvd, Apt 80",Seattle,WA,63665,USA
Lucas,Williams,lucaswilliams72@example.com,+1 (968) 575-7209,"7485 Lakeview Dr, Apt 63",Phoenix,AZ,13761,USA
Benjamin,Martinez,benjaminmartinez5@example.com,+1 (921) 171-1750,"9559 Cedar Ln, Apt 50",Chicago,IL,47930,USA
Abigail,martinez, abigailmartinez48@example.com ,1-913-402-3085,"5444 Cedar Ln, Apt 104",Atlanta,GA,65108,USA
Lucas,Martinez,lucasmartinez168@example.com,+1 (894) 684-8218,"3278 Hillcrest Way, Apt 95",Miami,FL,46932,USA
James,Garcia,jamesgarcia218@example.com,+1 (897) 348-1517,"2521 Maple Ave, Apt 211",Atlanta,GA,35006,USA
Emma,Martinez,emmamartinez163@example.com,+1 (330) 786-9624,"5481 Maple Ave, Apt 209",Atlanta,GA,94675,USA
Emma,johnson, emmajohnson202@example.com ,1-785-526-1496,3553 Hillcrest Way Apt 197,Phoenix,AZ,92203,USA
Lucas,Wilson,lucaswilson176@example.com,+1 (711) 711-9782,"1129 Oak St, Apt 29",Miami,FL,92831,USA
Emma,Wilson,emmawilson31@example.com,+1 (885) 833-6147,"4372 Cedar Ln, Apt 53",Chicago,IL,44814,USA
 LOGAN ,wilson,LOGANWILSON184@EXAMPLE.COM,+1 (547) 291-9129,"7304 Hillcrest Way, Apt 99",Atlanta,GA,58148,USA
Mia,Moore,miamoore13@example.com,+1 (749) 868-5371,"1976 Lakeview Dr, Apt 175",Austin,TX,24621,USA
James,Gonzalez,jamesgonzalez10@example.com,+1 (342) 352-9830,"2440 Elm St, Apt 68",Miami,FL,86622,USA
Amelia,Brown,ameliabrown161@example.com,+1 (941) 972-3463,"4755 Lakeview Dr, Apt 65",Atlanta,GA,20682,USA
Harper,Taylor,harpertaylor169@example.com,+1 (404) 920-3267,"2755 Elm St, Apt 210",Atlanta,GA,16839,USA
Emma,Davis,emmadavis189@example.com,+1 (780) 133-3513,"6033 Hillcrest Way, Apt 99",Chicago,IL,58623,USA
James,Gonzalez,jamesgonzalez103@example.com,+1 (237) 229-9229,"2592 Lakeview Dr, Apt 127",Atlanta,GA,23154,USA
Mia,Johnson,miajohnson129@example.com,+1 (316) 863-2041,"6997 Hillcrest Way, Apt 135",Denver,CO,68756,USA
Evelyn,Martinez,evelynmartinez89@example.com,+1 (752) 605-8172,"4560 Maple Ave, Apt 129",Atlanta,GA,88385,USA
Ethan,Garcia,ethangarcia178@example.com,+1 (269) 638-9914,"8676 Oak St, Apt 93",Seattle,WA,61177,USA
 MASON ,thomas,MASONTHOMAS81@EXAMPLE.COM,1-388-152-5136,7316 Hillcrest Way Apt 88,MIAMI,FL,24953,USA
Logan,Lopez,loganlopez4@example.com,+1 (670) 649-3045,"811 Sunset Blvd, Apt 187",Phoenix,AZ,20328,USA
 EVELYN ,gonzalez, evelyngonzalez8@example.com ,1-901-432-1916,"9225 Cedar Ln, Apt 57",PHOENIX,AZ,14207,USA
Abigail,Moore,abigailmoore216@example.com,+1 (686) 935-1272,"9322 Lakeview Dr, Apt 77",Miami,FL,53416,USA
Emma,Johnson,emmajohnson88@example.com,+1 (966) 944-5728,"5139 Hillcrest Way, Apt 153",Denver,CO,26299,USA
 HARPER ,smith,harpersmith150@example.com,1-832-571-6928,2915 Maple Ave Apt 206,CHICAGO,IL,67240,USA
Noah,Wilson,noahwilson217@example.com,+1 (685) 371-4728,"536 Oak St, Apt 153",Phoenix,AZ,86483,USA
Harper,Smith,harpersmith150@example.com,+1 (832) 571-6928,"2915 Maple Ave, Apt 206",Chicago,IL,67240,USA
Benjamin,Miller,benjaminmiller134@example.com,+1 (623) 447-8430,"7498 Sunset Blvd, Apt 59",Atlanta,GA,64524,USA
Amelia,Lopez,amelialopez205@example.com,+1 (579) 627-2739,"2242 Lakeview Dr, Apt 195",Atlanta,GA,41685,USA
Amelia,Miller,ameliamiller102@example.com,+1 (439) 976-7730,"9468 Oak St, Apt 99",Boston,MA,51704,USA
Sophia,Davis,sophiadavis165@example.com,+1 (502) 964-2657,"2638 Oak St, Apt 20",Denver,CO,96760,USA
Henry,martin, henrymartin140@example.com ,1-384-379-6062,"4481 Lakeview Dr, Apt 8",Austin,TX,56009,USA
James,Moore,jamesmoore18@example.com,+1 (821) 533-4470,"4442 Cedar Ln, Apt 136",Denver,CO,50857,USA
Amelia,Jones,ameliajones155@example.com,+1 (652) 746-5961,"1218 Elm St, Apt 121",Miami,FL,87518,USA
Liam,Martinez,liammartinez108@example.com,+1 (349) 350-9702,"6241 Sunset Blvd, Apt 111",Chicago,IL,84177,USA
Ella,Moore,ellamoore39@example.com,+1 (242) 415-6974,"7141 Oak St, Apt 33",Denver,CO,56898,USA
Ava,Williams,avawilliams193@example.com,+1 (655) 189-6236,"2928 Lakeview Dr, Apt 183",Miami,FL,18511,USA
Benjamin,Martin,benjaminmartin61@example.com,+1 (479) 546-8956,"8099 Oak St, Apt 57",Boston,MA,60968,USA
 ETHAN ,Johnson, ethanjohnson172@example.com ,1-441-495-2337,8324 Lakeview Dr Apt 96,Atlanta,GA,39430,USA
James,Taylor,jamestaylor208@example.com,+1 (709) 123-2475,"8271 Sunset Blvd, Apt 79",Miami,FL,76249,USA
Amelia,Jones,ameliajones127@example.com,+1 (348) 233-9850,"4642 Elm St, Apt 220",Austin,TX,32871,USA
 BENJAMIN ,Martinez,BENJAMINMARTINEZ35@EXAMPLE.COM,1-318-209-3546,2300 Elm St Apt 68,SEATTLE,WA,46930,USA
