first_name,last_name,email,phone,address_line,city,state,postal_code,country
Noah,Smith,noahsmith128@example.com,+1 (443) 702-6304,"343 Oak St, Apt 92",Denver,CO,32838,USA
Amelia,miller,AMELIAMILLER64@EXAMPLE.COM,1-979-488-5558,"5455 Sunset Blvd, Apt 87",Miami,FL,43065,USA
Olivia,Hernandez,oliviahernandez173@example.com,+1 (349) 240-1627,"5593 Elm St, Apt 203",Seattle,WA,71925,USA
Ethan,Brown,ethanbrown145@example.com,+1 (739) 783-6053,"9817 Oak St, Apt 125",Phoenix,AZ,38903,USA
Ethan,Taylor,ethantaylor164@example.com,+1 (516) 284-4509,"398 Lakeview Dr, Apt 93",Chicago,IL,73736,USA
 NOAH ,Lopez, noahlopez139@example.com ,1-485-687-4705,"1982 Sunset Blvd, Apt 196",CHICAGO,IL,83526,USA
Emma,Martin,emmamartin30@example.com,+1 (322) 683-5033,"3953 Oak St, Apt 104",Seattle,WA,91183,USA
Ava,Johnson,avajohnson121@example.com,+1 (318) 199-4846,"5086 Pine Rd, Apt 127",Austin,TX,60940,USA
 LOGAN ,lopez,LOGANLOPEZ4@EXAMPLE.COM,1-670-649-3045,"811 Sunset Blvd, Apt 187",PHOENIX,AZ,20328,USA
 HARPER ,anderson,HARPERANDERSON84@EXAMPLE.COM,1-639-412-1986,"4971 Maple Ave, Apt 151",MIAMI,FL,37235,USA
 ELLA ,martin,ELLAMARTIN50@EXAMPLE.COM,1-652-791-4501,"7718 Hillcrest Way, Apt 114",CHICAGO,IL,32241,USA
Henry,Martinez,henrymartinez138@example.com,+1 (719) 317-3535,"1797 Hillcrest Way, Apt 148",Chicago,IL,39392,USA
Logan,Jones,loganjones213@example.com,+1 (611) 612-1659,"9970 Oak St, Apt 131",Boston,MA,15100,USA
 EVELYN ,davis, evelyndavis209@example.com ,1-249-151-5609,"9657 Hillcrest Way, Apt 91",BOSTON,MA,88317,USA
Logan,Taylor,logantaylor130@example.com,+1 (426) 729-1710,"7505 Elm St, Apt 129",Seattle,WA,70036,USA
Mason,Wilson,masonwilson14@example.com,+1 (939) 996-5315,"7533 Pine Rd, Apt 1",Denver,CO,76542,USA
Elijah,Garcia,elijahgarcia109@example.com,+1 (591) 734-4945,"1393 Hillcrest Way, Apt 157",Denver,CO,86435,USA
Benjamin,Hernandez,benjaminhernandez120@example.com,+1 (675) 817-5951,"1135 Sunset Blvd, Apt 163",Boston,MA,25292,USA
 ELIJAH ,garcia, elijahgarcia41@example.com ,1-954-440-7745,506 Cedar Ln Apt 46,Atlanta,GA,44970,USA
